#Galaxy	N	log(L_V/L_sun)	error	log(M_*/M_sun)	error	[Fe/H]	error	
NGC6822		278	8.02	0.09	7.92	0.09	-1.05	0.01
IC1613		125	8.01	0.06	8.01	0.06	-1.19	0.01
VV124		52	6.92	0.08	6.92	0.08	-1.43	0.02
PegasusdIrr	95	6.82	0.08	6.82	0.08	-1.39	0.01
LeoA		39	6.78	0.09	6.47	0.09	-1.58	0.02
Aquarius	24	6.19	0.05	6.15	0.05	-1.44	0.03
LeoT		16	5.13	0.20	5.13	0.20	-1.74	0.04
