# MV	sb0	dd	re      n	[Fe/H]	
# V-I = 0.198*[Fe/H] +1.207
-9.6	25.1	870	0.205	1.0	-1.7	Tuc	Grebel_et_al._2003/Saviane_1996
-10.9	23.0	950	0.206	1.0	-1.9	DDO210	Grebel_et_al._2003/McConnachie_2006
-10.5	24.0	1860	9999	9999	-2.1	KKR25	Grebel_et_al._2003
