# V_f	log(M_star)	log(M_gas)	M_V	M_B	M_I	mu0_V	Re	FeH
#M_V = M_r - 0.03 + 0.58(g-r) (Windhorst et al. 1991)
#M_B = M_r + 0.51 + 1.6(g-r)
#Leo P, Pisces A, DDO210, Leo T
15	5.76	5.98	-9.41	-9.05	-10.47	24.5	-99	-99
17	5.46	5.91	-8.93	-8.22	-99	-99	0.06	-99
17	5.88	6.64	-11.33	-11.09	-11.90	-99	-99	-1.3
12.4	5.08	5.45	-99	-99	-99	-99	-99	-99
