#~~~                                                                                                             ~~~
#~~ These are the galaxies with HI interferometric observations used to make Fig. 4 in Papastergis & Shankar 2015 ~~
#~~~                                                                                                             ~~~
#
#name, sample, Rout,   Vout, Vout_err_low, Vout_err_high, Vrot,    M*,    Mbar,  Vh_nfw, Mh_nfw,  Vh_dc14,  Mh_dc14
# ()    ()     (kpc)  (km/s)    (km/s)        (km/s)      (km/s) (Msun)  (Msun)   (km/s)  (Msun)   (km/s)   (Msun) 
#---------------------------------------------------
UGC3711,WHISP_Swaters09,3.75,95.7,3.00,1.60,88.2,9.40,9.54,201.3,12.26,424.9,13.27
UGC3817,WHISP_Swaters09,2.53,46.4,5.40,2.60,40.7,8.32,8.71,64.8,10.68,155.2,11.88
UGC3851,WHISP_Swaters09,5.85,61.1,3.40,1.20,58.5,9.04,9.31,68.0,10.74,145.0,11.84
UGC3966,WHISP_Swaters09,2.18,51.3,4.30,1.70,61.8,8.24,8.65,83.1,11.02,170.9,12.00
UGC4173,WHISP_Swaters09,12.20,58.1,4.20,2.00,52.6,9.40,9.72,60.2,10.57,60.6,10.58
UGC4278,WHISP_Swaters09,7.64,86.7,2.70,1.30,87.8,9.36,9.60,102.5,11.32,255.3,12.59
UGC4305,WHISP_Swaters09,5.44,34.9,5.00,1.20,43.8,9.00,9.28,36.4,9.86,36.1,10.09
UGC4543,WHISP_Swaters09,17.60,67.9,3.70,1.90,77.8,9.96,10.27,70.0,10.78,69.7,11.02
UGC5272,WHISP_Swaters09,1.78,46.4,3.70,0.90,43.9,8.32,8.64,76.8,10.91,180.8,12.08
UGC5721,WHISP_Swaters09,7.31,79.8,3.10,1.50,91.6,8.92,9.23,92.7,11.18,171.7,12.06
UGC5829,WHISP_Swaters09,7.20,69.9,4.50,2.70,65.8,9.20,9.48,79.4,10.96,161.7,11.99
UGC5846,WHISP_Swaters09,3.84,52.2,5.20,2.80,46.4,8.72,9.17,64.8,10.68,166.8,12.00
UGC5918,WHISP_Swaters09,4.48,46.4,4.20,1.40,43.1,8.44,8.83,51.2,10.34,48.8,10.21
UGC5986,WHISP_Swaters09,12.00,125.5,2.50,1.50,122.1,9.72,9.95,151.1,11.86,350.4,13.02
UGC6628,WHISP_Swaters09,7.79,43.5,7.30,4.30,56.6,9.80,9.92,48.2,10.26,59.2,10.75
UGC7047,WHISP_Swaters09,1.53,39.6,4.40,1.20,41.6,8.36,8.57,63.4,10.64,178.7,12.07
UGC7125,WHISP_Swaters09,21.30,70.9,2.90,1.10,74.4,9.60,10.00,72.6,10.83,75.3,10.82
UGC7151,WHISP_Swaters09,2.80,76.8,2.80,1.20,79.0,8.56,8.76,159.1,11.93,245.2,12.50
UGC7232,WHISP_Swaters09,1.02,45.4,3.70,0.90,30.3,8.40,8.54,132.2,11.67,225.1,12.38
UGC7261,WHISP_Swaters09,4.63,76.8,4.80,3.20,85.1,9.36,9.50,110.9,11.43,335.7,12.95
UGC7278,WHISP_Swaters09,5.80,81.8,4.00,4.00,66.9,9.60,9.70,110.9,11.43,367.7,13.08
UGC7608,WHISP_Swaters09,4.89,69.9,5.60,3.80,72.4,8.84,9.16,93.2,11.19,210.9,12.31
UGC7690,WHISP_Swaters09,4.02,57.1,4.10,1.90,63.2,9.08,9.23,70.8,10.80,228.3,12.43
UGC7866,WHISP_Swaters09,2.44,34.9,4.80,1.00,34.3,8.36,8.60,40.3,10.01,111.1,11.46
UGC7916,WHISP_Swaters09,4.28,37.7,3.80,0.40,35.1,8.24,8.82,39.1,9.96,38.0,9.79
UGC7971,WHISP_Swaters09,3.06,46.4,4.60,1.80,46.1,9.12,9.22,57.9,10.52,234.2,12.47
UGC8286,WHISP_Swaters09,5.94,84.8,2.80,1.20,90.0,9.16,9.28,109.8,11.41,268.3,12.64
UGC8550,WHISP_Swaters09,4.24,59.1,3.10,0.90,62.8,8.52,8.76,71.4,10.81,147.8,11.83
UGC8837,WHISP_Swaters09,3.71,55.2,3.20,0.80,42.9,8.56,8.76,67.7,10.74,158.2,11.92
UGC9992,WHISP_Swaters09,3.78,35.8,5.80,2.20,41.2,8.64,8.92,39.7,9.99,38.1,9.87
UGC10310,WHISP_Swaters09,9.08,74.9,4.50,2.70,83.6,9.44,9.65,82.5,11.01,77.5,10.78
UGC11557,WHISP_Swaters09,10.40,85.7,4.70,3.30,85.9,10.16,10.25,95.5,11.22,306.9,12.87
UGC11861,WHISP_Swaters09,16.40,153.4,3.00,2.20,158.0,10.60,10.69,183.0,12.12,581.6,13.87
UGC731,WHISP_Swaters11,6.98,74.3,3.60,3.60,79.1,8.92,9.26,88.5,11.11,169.2,12.04
UGC3371,WHISP_Swaters11,10.23,86.6,2.60,2.80,86.1,9.36,9.59,96.3,11.23,90.6,11.05
UGC4325,WHISP_Swaters11,5.88,91.8,3.10,3.00,102.7,9.52,9.64,131.1,11.66,376.9,13.11
UGC4499,WHISP_Swaters11,8.51,75.1,2.80,2.70,76.6,9.40,9.61,83.6,11.03,77.2,10.77
